epoch,accuracy,loss,val_accuracy,val_loss
0,0.3476335406303406,1.3358603715896606,0.4207492768764496,1.2854739427566528
1,0.6244118213653564,1.0257304906845093,0.6599423885345459,0.9096727967262268
2,0.7871574759483337,0.6054661273956299,0.7031700015068054,0.7828347086906433
3,0.8447273969650269,0.4323442280292511,0.7118155360221863,0.7437600493431091
4,0.874896228313446,0.3418731391429901,0.7060518860816956,0.7228149771690369
5,0.9086631536483765,0.2765851318836212,0.7002881765365601,0.8277279138565063
6,0.9233323931694031,0.23055997490882874,0.7060518860816956,0.8471972346305847
7,0.9402158856391907,0.19227248430252075,0.7002881765365601,0.9171646237373352
8,0.9487960338592529,0.16487957537174225,0.6887608170509338,0.9788240790367126
9,0.9587600231170654,0.1366354376077652,0.6829971075057983,1.0080138444900513
10,0.9640188217163086,0.12173013389110565,0.6858789920806885,1.0967198610305786
11,0.9667866230010986,0.1088191345334053,0.680115282535553,1.1514906883239746
12,0.9712150692939758,0.1005709245800972,0.6743515729904175,1.1524457931518555
13,0.9712150692939758,0.09589029103517532,0.6829971075057983,1.2409484386444092
14,0.9709382653236389,0.08344295620918274,0.6772334575653076,1.2312207221984863
15,0.9731525182723999,0.08230527490377426,0.6829971075057983,1.3045294284820557
16,0.972045361995697,0.08171172440052032,0.6772334575653076,1.3440711498260498
17,0.9761970639228821,0.0730663537979126,0.6714697480201721,1.3930939435958862
18,0.973706066608429,0.07523517310619354,0.6772334575653076,1.382348895072937
19,0.9739828109741211,0.06809145957231522,0.7002881765365601,1.4072606563568115
20,0.9778577089309692,0.06394124031066895,0.680115282535553,1.50895357131958
21,0.9761970639228821,0.06770399957895279,0.6887608170509338,1.493119716644287
22,0.9781345129013062,0.06517519801855087,0.6772334575653076,1.4817678928375244
23,0.977027416229248,0.06111881881952286,0.6858789920806885,1.5305415391921997
24,0.977027416229248,0.06231781840324402,0.6858789920806885,1.5223718881607056
